Rk,Player,W-L%,ERA,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,SV,IP,H,R,ER,BB,SO,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
19,Dave McNally-mcnalda01,0.433,2.95,1972,29,BAL,AL,36,36,12,6,0,13,17,0,241,220,85,79,68,120,3.08,12.30%,7.00%,104,0.27,15,979,890,31,8,15,2,16,3,28,6,14,6,0,1,0.247,0.301,0.351,0.652,96,,
20,Bill Singer-singebi01,0.433,2.88,1968,24,LAD,NL,37,36,12,6,0,13,17,0,256.1,227,97,82,78,227,2.3,21.40%,7.40%,96,0.293,14,1061,959,18,5,10,5,10,9,13,13,13,4,1,12,0.237,0.295,0.31,0.605,95,,
21,George Brunet-brunege01,0.433,2.86,1968,33,CAL,AL,39,36,8,5,2,13,17,0,245.1,191,83,78,68,132,3.38,13.60%,7.00%,101,0.227,23,973,887,22,4,3,2,8,8,21,6,9,4,0,10,0.215,0.27,0.327,0.597,91,,
22,Larry Jackson-jacksla01,0.433,2.77,1968,37,PHI,NL,34,34,12,2,0,13,17,0,243.2,229,86,75,60,127,2.61,12.70%,6.00%,109,0.278,9,997,924,26,10,15,4,7,2,23,8,9,0,0,2,0.248,0.296,0.327,0.623,94,,
23,Bob Ojeda-ojedabo01,0.435,2.88,1988,30,NYM,NL,29,29,5,5,0,10,13,0,190.1,158,74,61,33,133,2.36,17.70%,4.40%,112,0.267,6,752,703,37,5,2,4,6,6,10,22,8,0,7,4,0.225,0.261,0.317,0.579,75,,
24,Bill Gullickson-gullibi01,0.438,2.8,1981,22,MON,NL,22,22,3,2,0,7,9,0,157.1,142,54,49,34,115,2.11,18.00%,5.30%,125,0.29,3,640,595,26,2,4,4,5,2,10,15,8,0,0,4,0.239,0.283,0.304,0.588,71,,
25,Burt Hooton-hootobu01,0.44,2.8,1972,22,CHC,NL,33,31,9,3,1,11,14,0,218.1,201,78,68,81,132,3.09,14.40%,8.80%,135,0.278,13,916,817,28,3,7,1,13,4,18,25,5,1,0,8,0.246,0.313,0.335,0.649,83,,
26,Jim Barr-barrji01,0.444,2.87,1972,24,SFG,NL,44,18,8,2,13,8,10,2,179,166,66,57,41,86,3.34,11.80%,5.60%,122,0.26,16,732,674,21,7,8,3,9,5,11,13,7,4,1,1,0.246,0.29,0.369,0.66,91,,
27,Melido Perez-perezme01,0.448,2.87,1992,26,NYY,AL,33,33,10,1,0,13,16,0,247.2,212,94,79,93,218,3.05,21.50%,9.20%,136,0.29,16,1013,901,33,3,5,5,6,8,18,18,18,9,0,13,0.235,0.308,0.332,0.64,80,,
28,Bert Blyleven-blylebe01,0.448,2.87,1976,25,TOT,AL,36,36,18,6,0,13,16,0,297.2,283,106,95,81,219,2.71,17.90%,6.60%,125,0.305,14,1225,1108,33,10,6,12,18,6,35,34,11,0,2,7,0.255,0.312,0.341,0.653,89,,
